ward_name,category,current_budget,last_year_budget,projected_growth,population,area_sqkm,infrastructure_score,service_score
Ward-A,Infrastructure,15000000,13500000,11.1%,45000,12.5,85,78
Ward-A,Services,8000000,7200000,11.1%,45000,12.5,78,82
Ward-A,Administration,3000000,2700000,11.1%,45000,12.5,90,88
Ward-A,Development,2000000,1800000,11.1%,45000,12.5,75,80
Ward-B,Infrastructure,12000000,10800000,11.1%,38000,10.2,82,75
Ward-B,Services,6500000,5850000,11.1%,38000,10.2,75,78
Ward-B,Administration,2500000,2250000,11.1%,38000,10.2,88,85
Ward-B,Development,1800000,1620000,11.1%,38000,10.2,70,75
Ward-C,Infrastructure,18000000,16200000,11.1%,52000,15.8,88,82
Ward-C,Services,9000000,8100000,11.1%,52000,15.8,82,85
Ward-C,Administration,3500000,3150000,11.1%,52000,15.8,92,90
Ward-C,Development,2500000,2250000,11.1%,52000,15.8,78,82
Ward-D,Infrastructure,10000000,9000000,11.1%,32000,8.9,75,70
Ward-D,Services,5500000,4950000,11.1%,32000,8.9,70,72
Ward-D,Administration,2200000,1980000,11.1%,32000,8.9,85,80
Ward-D,Development,1500000,1350000,11.1%,32000,8.9,68,70
Ward-E,Infrastructure,14000000,12600000,11.1%,41000,11.3,80,78
Ward-E,Services,7000000,6300000,11.1%,41000,11.3,78,80
Ward-E,Administration,2800000,2520000,11.1%,41000,11.3,87,83
Ward-E,Development,2200000,1980000,11.1%,41000,11.3,72,75
Ward-F,Infrastructure,16000000,14400000,11.1%,48000,14.2,85,83
Ward-F,Services,8500000,7650000,11.1%,48000,14.2,83,86
Ward-F,Administration,3200000,2880000,11.1%,48000,14.2,90,88
Ward-F,Development,2800000,2520000,11.1%,48000,14.2,80,85
Ward-G,Infrastructure,11000000,9900000,11.1%,35000,9.8,78,74
Ward-G,Services,6000000,5400000,11.1%,35000,9.8,74,76
Ward-G,Administration,2400000,2160000,11.1%,35000,9.8,86,82
Ward-G,Development,1700000,1530000,11.1%,35000,9.8,70,72
Ward-H,Infrastructure,13000000,11700000,11.1%,42000,11.8,82,79
Ward-H,Services,6800000,6120000,11.1%,42000,11.8,79,81
Ward-H,Administration,2700000,2430000,11.1%,42000,11.8,89,86
Ward-H,Development,2000000,1800000,11.1%,42000,11.8,75,78
